SEXO,IDADE,CRECHE,SAUDE,NOME_ESCOLA,RAZAO_ESCOLHA_ESCOLA,TEMPO_ESTUDO_SEMANAL,ALMEJA_ENSINO_SUPERIOR,SUPORTE_ESCOLAR,RESPONSAVEL,STATUS_PAIS,ESCOLARIDADE_MAE,PROFISSAO_MAE,ESCOLARIDADE_PAI,PROFISSAO_PAI,TAMANHO_FAMILIA,QUALIDADE_FAMILIA,SUPORTE_FAMILIAR,INTERNET_CASA,TIPO_ENDERECO,TEMPO_DESLOCAMENTO,ATIVIDADES_EXTRAS,RELACIONAMENTO,TEMPO_LIVRE,SAIR_COM_AMIGOS,ALCOOL_DIA_UTIL,ALCOOL_FIM_DE_SEMANA,AULAS_PAGAS_MAT,NUM_REPROVACOES_MAT,FALTAS_MAT,NOTA_1_MAT,NOTA_2_MAT,NOTA_3_MAT,AULAS_PAGAS_POR,NUM_REPROVACOES_POR,FALTAS_POR,NOTA_1_POR,NOTA_2_POR,NOTA_3_POR
masculino,17,False,4,Gabriel Pereira,reputacao,2,True,False,pai,juntos,3,outro,3,outro,mais de 3,4,False,True,urbano,1,True,False,3,4,1,4,False,0,4,6,5,6,False,0,4,11,9,10
feminino,16,True,4,Gabriel Pereira,reputacao,2,True,True,mae,juntos,2,outro,3,outro,mais de 3,4,True,False,urbano,1,True,False,4,3,1,3,True,0,6,8,10,10,False,0,4,11,12,12
masculino,16,True,5,Gabriel Pereira,proximo_casa,1,True,False,pai,juntos,4,saude,3,outro,ate 3,3,False,True,urbano,1,True,False,1,3,1,3,True,0,4,8,10,10,False,0,6,12,12,12
feminino,18,True,4,Mousinho da Silveira,proximo_casa,3,True,False,mae,juntos,1,outro,1,outro,mais de 3,4,False,True,rural,4,False,False,3,2,1,2,False,0,2,8,8,10,False,0,4,10,11,12
feminino,16,True,3,Gabriel Pereira,curso,2,True,False,mae,juntos,3,casa,4,outro,mais de 3,2,True,True,urbano,1,False,False,4,3,1,2,False,0,12,5,5,5,False,0,14,12,11,11
masculino,17,True,5,Gabriel Pereira,reputacao,2,True,False,mae,juntos,4,professor,4,outro,ate 3,4,True,True,urbano,1,True,False,4,4,1,3,True,0,0,13,11,10,False,0,0,11,9,10
masculino,17,True,5,Gabriel Pereira,curso,1,True,False,mae,juntos,3,servicos,2,servicos,mais de 3,5,True,True,urbano,1,True,False,5,5,2,4,False,3,16,6,5,5,True,3,2,8,8,7
feminino,17,True,3,Gabriel Pereira,reputacao,1,True,False,mae,juntos,2,outro,2,outro,mais de 3,5,True,True,rural,1,False,False,3,2,1,2,False,0,18,7,6,6,False,0,21,13,13,13
masculino,15,True,1,Gabriel Pereira,curso,2,True,False,mae,separados,3,servicos,4,outro,mais de 3,5,True,True,urbano,1,True,False,4,4,1,1,True,0,0,16,18,18,False,0,0,16,16,16
masculino,18,True,5,Gabriel Pereira,proximo_casa,2,True,False,mae,juntos,4,professor,2,outro,mais de 3,4,True,True,urbano,1,True,True,3,2,1,4,True,0,11,12,11,11,False,0,2,15,16,16
masculino,17,True,5,Gabriel Pereira,curso,2,True,False,pai,juntos,1,outro,3,outro,mais de 3,5,True,True,rural,3,True,False,2,4,1,4,False,1,20,9,7,8,False,1,14,12,11,11
masculino,18,True,3,Mousinho da Silveira,outro,1,False,False,pai,juntos,1,casa,2,servicos,ate 3,4,True,True,rural,3,True,True,3,3,2,3,True,0,3,14,12,12,False,0,3,9,10,10
masculino,15,True,5,Gabriel Pereira,reputacao,2,True,False,mae,juntos,4,servicos,4,servicos,mais de 3,4,True,True,urbano,2,True,False,3,1,1,1,False,0,0,17,16,17,False,0,2,15,15,15
masculino,15,True,4,Gabriel Pereira,proximo_casa,3,True,False,mae,juntos,4,professor,3,servicos,ate 3,5,True,True,urbano,1,True,False,4,3,1,1,False,0,2,15,16,18,False,0,0,14,14,14
masculino,16,True,5,Gabriel Pereira,curso,2,True,False,pai,juntos,3,outro,3,servicos,mais de 3,4,True,True,urbano,1,False,True,5,5,4,4,True,1,4,10,12,12,False,1,0,10,10,1
feminino,17,False,3,Gabriel Pereira,reputacao,2,True,False,mae,separados,3,saude,3,outro,mais de 3,3,True,True,urbano,1,False,True,3,3,1,3,False,0,6,8,7,9,False,0,10,12,13,14
feminino,16,False,3,Gabriel Pereira,proximo_casa,2,True,False,mae,juntos,1,casa,3,servicos,mais de 3,4,False,True,urbano,1,True,True,3,5,1,1,False,3,0,8,7,0,False,0,0,14,13,13
feminino,17,False,5,Gabriel Pereira,curso,3,True,False,pai,juntos,3,casa,4,servicos,mais de 3,4,True,True,rural,1,True,False,3,4,2,5,True,0,0,11,11,10,False,0,2,15,15,17
masculino,15,True,3,Gabriel Pereira,curso,4,True,True,pai,juntos,4,professor,3,servicos,mais de 3,2,True,True,urbano,2,False,False,2,2,1,1,False,0,0,7,9,0,False,0,6,9,11,11
masculino,17,False,2,Mousinho da Silveira,proximo_casa,2,True,False,mae,juntos,4,servicos,3,outro,mais de 3,4,True,True,rural,2,True,True,5,5,1,3,True,0,4,13,11,11,True,1,4,10,11,11
masculino,16,True,3,Gabriel Pereira,proximo_casa,2,True,False,mae,juntos,4,professor,3,outro,mais de 3,3,True,True,urbano,1,True,False,4,3,2,3,True,0,10,9,8,8,True,0,4,11,10,11
feminino,16,True,5,Gabriel Pereira,curso,2,True,False,mae,juntos,4,servicos,2,outro,mais de 3,4,True,True,urbano,1,False,False,2,3,1,1,False,0,2,15,16,16,True,0,2,16,15,16
feminino,16,True,2,Gabriel Pereira,reputacao,3,True,True,pai,juntos,3,servicos,3,outro,mais de 3,4,True,True,rural,1,True,False,1,2,1,1,False,1,0,7,10,10,False,0,4,11,11,11
masculino,15,True,5,Gabriel Pereira,curso,1,True,False,mae,separados,2,servicos,1,outro,ate 3,4,False,True,urbano,4,False,False,5,5,2,5,False,3,0,8,9,10,False,0,0,12,11,11
masculino,16,True,3,Gabriel Pereira,proximo_casa,2,True,False,mae,juntos,2,outro,2,outro,ate 3,4,False,True,urbano,1,False,False,4,4,1,1,False,0,0,12,12,11,False,0,0,13,12,13
masculino,18,True,3,Gabriel Pereira,proximo_casa,1,True,False,mae,juntos,4,professor,4,servicos,mais de 3,3,False,True,urbano,2,True,False,2,4,1,4,True,0,22,9,9,9,False,0,6,11,12,12
masculino,18,True,4,Gabriel Pereira,proximo_casa,2,True,False,mae,juntos,2,outro,1,outro,mais de 3,5,False,True,urbano,1,True,False,2,4,1,2,False,0,8,15,14,14,False,0,2,16,16,16
feminino,15,True,2,Gabriel Pereira,reputacao,2,True,False,mae,juntos,4,professor,4,saude,mais de 3,3,True,True,urbano,1,False,False,3,3,1,2,True,0,0,10,8,9,False,0,2,14,14,14
masculino,16,True,5,Gabriel Pereira,curso,1,True,False,mae,juntos,4,servicos,4,servicos,mais de 3,5,False,True,urbano,1,True,False,3,2,1,2,False,0,0,13,12,12,True,0,4,14,15,15
feminino,15,True,2,Gabriel Pereira,proximo_casa,2,True,True,mae,juntos,3,servicos,2,outro,mais de 3,4,True,True,urbano,2,False,False,3,5,1,1,True,0,26,7,6,6,False,0,16,11,10,10
masculino,15,False,5,Gabriel Pereira,proximo_casa,3,True,True,mae,juntos,2,outro,3,outro,mais de 3,5,False,True,urbano,1,False,False,3,2,1,2,True,0,4,11,10,11,False,0,2,10,9,9
masculino,16,True,5,Gabriel Pereira,curso,2,True,False,mae,juntos,2,outro,1,outro,ate 3,4,False,True,urbano,1,True,True,2,3,1,2,True,0,0,15,15,15,False,0,0,13,14,16
feminino,19,True,5,Gabriel Pereira,proximo_casa,2,True,False,outro,juntos,3,outro,3,servicos,mais de 3,4,True,True,urbano,1,True,False,3,5,3,3,True,2,15,9,9,9,False,0,16,11,12,12
masculino,18,True,3,Gabriel Pereira,curso,2,True,True,mae,juntos,2,casa,1,outro,ate 3,4,True,True,urbano,4,True,True,3,2,4,5,True,0,14,10,8,9,False,0,2,9,10,11
feminino,17,True,3,Gabriel Pereira,reputacao,3,True,False,mae,juntos,4,outro,2,outro,mais de 3,4,True,True,urbano,2,False,False,3,3,1,1,True,0,0,15,12,14,False,0,0,16,16,16
feminino,17,True,1,Mousinho da Silveira,curso,1,True,False,mae,juntos,1,outro,2,outro,mais de 3,3,False,True,rural,1,True,False,5,5,1,3,False,0,14,6,5,5,False,0,4,7,8,9
feminino,18,True,4,Gabriel Pereira,curso,4,True,False,mae,juntos,2,casa,2,outro,mais de 3,4,False,False,rural,2,True,False,4,4,1,1,False,0,0,10,9,0,False,0,6,14,13,14
masculino,16,True,5,Gabriel Pereira,curso,1,False,False,mae,juntos,4,professor,4,professor,mais de 3,3,True,True,urbano,1,False,True,3,2,2,1,False,0,0,7,6,0,False,0,16,9,9,8
feminino,16,True,5,Gabriel Pereira,proximo_casa,1,True,False,mae,juntos,1,casa,1,outro,mais de 3,4,True,False,urbano,2,False,False,3,2,1,4,True,0,6,9,9,10,False,0,2,12,13,13
feminino,16,True,2,Gabriel Pereira,proximo_casa,2,True,True,pai,juntos,3,outro,1,outro,ate 3,3,True,False,urbano,1,False,False,3,3,2,3,False,0,4,7,6,6,False,0,0,12,13,12
feminino,15,False,3,Gabriel Pereira,reputacao,4,True,False,pai,juntos,3,outro,1,outro,ate 3,4,True,True,rural,2,False,False,4,2,2,3,False,0,12,16,16,16,False,0,6,15,15,15
feminino,17,False,3,Mousinho da Silveira,curso,2,True,False,pai,juntos,1,outro,2,servicos,mais de 3,3,False,False,rural,2,False,False,2,2,1,2,False,0,0,12,11,12,False,0,0,13,13,13
masculino,16,False,4,Gabriel Pereira,reputacao,1,True,True,mae,juntos,4,servicos,3,outro,mais de 3,3,True,True,rural,2,True,False,3,3,1,1,False,0,2,11,15,15,True,0,6,9,11,11
masculino,17,True,5,Gabriel Pereira,proximo_casa,1,True,False,mae,juntos,2,outro,1,outro,mais de 3,5,True,True,urbano,1,False,False,4,5,1,2,False,3,0,5,0,0,False,0,22,9,7,6
feminino,18,True,2,Gabriel Pereira,outro,3,True,False,mae,juntos,2,casa,2,casa,mais de 3,4,True,True,urbano,1,False,False,3,3,1,2,True,0,5,18,18,19,False,0,0,18,18,18
feminino,16,True,5,Gabriel Pereira,curso,2,True,False,mae,juntos,2,outro,1,outro,mais de 3,4,True,False,urbano,1,False,True,3,5,1,1,True,0,2,8,9,10,False,0,0,13,12,12
feminino,18,True,4,Gabriel Pereira,proximo_casa,2,True,False,mae,juntos,3,servicos,3,servicos,mais de 3,5,False,True,urbano,1,True,False,3,4,1,1,False,0,0,7,0,0,False,0,8,10,11,12
feminino,15,True,4,Gabriel Pereira,reputacao,2,True,True,mae,juntos,2,saude,2,servicos,ate 3,4,True,True,rural,2,False,False,1,3,1,3,True,0,2,8,9,8,False,0,0,11,10,11
masculino,16,True,5,Gabriel Pereira,reputacao,2,True,False,mae,juntos,2,outro,2,outro,ate 3,5,True,True,urbano,2,True,False,4,4,2,4,False,0,0,13,13,12,False,0,2,10,10,10
masculino,16,True,5,Gabriel Pereira,reputacao,3,True,False,mae,separados,4,outro,4,professor,mais de 3,2,True,True,rural,2,True,True,4,3,1,1,False,0,7,15,16,15,False,0,4,13,13,13
feminino,15,True,5,Gabriel Pereira,curso,2,True,False,pai,juntos,1,outro,1,servicos,mais de 3,4,True,True,urbano,1,False,False,4,2,1,2,True,0,0,8,11,11,False,0,0,12,12,12
feminino,16,True,5,Gabriel Pereira,curso,2,True,False,pai,juntos,2,outro,4,saude,ate 3,4,True,True,urbano,2,True,True,2,2,1,2,True,0,2,13,13,13,False,0,2,14,12,13
feminino,16,True,5,Gabriel Pereira,curso,4,True,True,mae,juntos,3,servicos,1,outro,mais de 3,4,True,True,urbano,1,False,False,3,3,1,2,True,0,4,7,7,6,False,0,0,10,9,10
masculino,16,False,2,Gabriel Pereira,curso,1,True,False,pai,juntos,3,outro,4,outro,mais de 3,3,True,True,urbano,3,True,False,4,5,2,4,False,2,0,6,5,0,False,1,4,9,9,10
feminino,18,True,1,Mousinho da Silveira,reputacao,3,True,False,mae,juntos,4,outro,4,outro,ate 3,5,False,True,rural,2,False,False,4,4,1,1,False,0,0,19,18,19,False,0,0,15,17,17
feminino,18,True,4,Gabriel Pereira,proximo_casa,2,True,False,mae,separados,4,saude,4,outro,ate 3,4,True,True,urbano,1,False,True,2,4,1,1,False,0,14,12,10,11,True,0,0,14,15,15
masculino,16,True,3,Gabriel Pereira,outro,1,True,False,mae,juntos,4,professor,2,servicos,mais de 3,4,True,True,rural,1,True,True,3,3,3,4,False,0,10,10,8,9,False,0,8,10,9,11
masculino,15,True,5,Gabriel Pereira,proximo_casa,1,True,True,pai,juntos,3,servicos,4,servicos,mais de 3,5,False,True,urbano,1,False,False,5,5,3,2,False,0,0,13,13,12,False,0,2,9,9,9
feminino,15,False,5,Gabriel Pereira,curso,2,True,False,mae,juntos,1,casa,2,outro,mais de 3,4,True,True,urbano,1,False,False,3,2,1,1,True,0,2,10,11,11,False,0,6,13,12,13
